Job,Education,InfoDeg,DateRange,Gender,WorkLevel
"['Junior Research Assistant', 'Sviluppatore']","['Laurea', 'Ingegneria e scienze informatiche', '95/100', 'Licenza Media', 'Indirizzo musicale: pianoforte']",Triennale,"['2019', '2022', '2013', '2019', '2011', '2013']",M,Impiegato
['Software Developer'],"['Laurea Magistrale  LM', 'Intelligenza artificiale', 'Laurea breve in Scienze e Tecnologie Informatiche', 'Informatica per il management', 'Diploma']",Magistrale,"['2021', '2023', '2018', '2021', '2013', '2018']",F,Impiegato
"['Programmatore Web', 'Arbitro di calcio', ""Team lead nell'organizzazione di competizioni sportive""]","['Laurea in Informatica', 'Informatica', 'Diploma']",Triennale,"['2017', '2020', '2012', '2017']",M,Impiegato
"['Educatrice professionale, mediatrice interculterale, formazione in Pari opportunità', 'Laureato']",['Laurea in Scienze Politiche; Laurea in Scienze della Formazione'],Triennale,[],F,Impiegato
['imprenditore'],['Scienze politiche e governo'],Triennale,"['1972', '1975']",F,Dirigente
"['Imola Informatica', 'Specialista in servizi alla persona']","['Ingegneria informatica', 'Maturità', 'Scienze naturali']",Triennale,"['2014', '2018']",M,Quadro
['HR Organizational Development and Training'],"['Corso di laurea triennale in Scienze Politiche, Sociali e Internazionali', 'Percorso Integrato Università e Impresa (PIL)', '110 e lode/110', 'Diploma', 'Liceo linguistico', '92/100']",Triennale,"['2017', '2020', '2012', '2017']",F,Quadro
"['Redattore', 'Assistente alle vendite', 'Responsabile amministrazione', 'Assistente comunicazione marketing']","['Laurea magistrale', 'Comunicazione pubblica e di impresa', '110L', 'Laurea triennale', 'Scienze Politiche e delle Relazioni Internazionali']",Magistrale,"['2019', '2021', '2014', '2018']",M,Impiegato
"['Digital Advisor', 'Digital Strategist Intern']","['Laurea triennale in Scienze della Comunicazione', '1° ciclo -  Laurea L', 'Comunicazione e Digital Media']",Triennale,"['2018', '2021', '2020', '2021']",F,Quadro
"['Tutor Corso di Laurea in Scienze della Comunicazione (Università di Bologna)', 'Project Manager', 'Social media manager', 'Future Food Institute', 'Events manager & PR']","['International Brand Strategy and Marketing', 'Laurea triennale', ""Scienze della comunicazione e dell''informazione"", '102/110', 'Master in recitazione e tecnica cinematografica', 'Recitazione']",Triennale,"['2021', '2022', '2017', '2020', '2015', '2016']",F,Impiegato
"['Responsabile Comunicazione', 'Borsista di ricerca', 'Responsabile della comunicazione', 'Area comunicazione', 'Collaboratore area comunicazione']","['Laurea Magistrale  LM', 'Semiotica', '110/110 e lode', 'Master Biennale 1° Livello', 'Management Comunicazione e Nuovi Media', '105/110', 'Laurea triennale', ""Scienze della comunicazione e dell''informazione"", '109/110']",Magistrale,"['2017', '2019', '2017', '2014']",M,Quadro
"['Referente ufficio stampa e comunicazione', 'Marketing and Communications Specialist', 'Responsabile alla vendita', 'Tirocinante', 'Responsabile alla vendita']","['Laurea Magistrale', 'Scienze della Comunicazione Pubblica e Sociale', '105/110', 'Laurea triennale', 'Scienze della comunicazione', '96/100', 'Programma di mobilità europeo', 'Periodismo']",Magistrale,"['2011', '2014', '2008', '2011', '2009', '2010']",F,Quadro
['Assistente Digital Marketing'],"['Laurea in Scienze della Comunicazione', ""Scienze della comunicazione e dell''informazione""]",Triennale,"['2017', '2021']",M,Impiegato
"['Marketing Research', 'Web Consultant', 'Event Planner']","['Laurea Triennale', 'Scienze della Comunicazione', 'Corso di formazione', 'Social media per il marketing e la comunicazione', 'Laurea Magistrale', 'Scienze della Comunicazione Pubblica e Sociale']",Triennale,"['2006', '2010', '2013', '2014', '2010', '2013']",F,Quadro
"['Switch Magazine', 'Assistente alle vendite']","['Laurea breve', 'Scienze della comunicazione', 'Diploma', 'Scienze Umane', '82/100']",Triennale,"['2017', '2020', '2012', '2017']",F,Impiegato
"['Customer Service Sales Assistant', 'Junior social media advertising']","['Laurea triennale', 'Scienze della comunicazione']",Triennale,"['2017', '2021']",F,Impiegato
"['Marketing Support', 'Communication Account', 'University of Bologna', 'Sales Assistant']","['Laurea in Scienze della Comunicazione Pubblica e Sociale', 'Università di Bologna', '100/110', 'Laurea Triennale', 'Scienze della Comunicazione', '92/110', 'Diploma di Liceo Artistico', 'Corso sperimentale in Discipline Pittoriche e Plastiche', '86/100']",Triennale,"['2011', '2013', '2008', '2011', '2003', '2008']",F,Impiegato
"['Content Manager', 'Educatore']","['Laurea Magistrale  LM', 'Mass media e Politica', 'Laurea triennale', 'Scienze della Comunicazione', 'Diploma di Specializzazione di 1° livello   DS1', 'Diplomi e attestati di scuola media superiore']",Magistrale,"['2016', '2019', '2013', '2016', '2008', '2013']",M,Quadro
"['Homina', 'Ufficio Comunicazione', 'Data Driven Marketing', 'Digital marketing, ufficio stampa', 'Organizzazione eventi']","['Laurea Magistrale  LM', ""Comunicazione pubblica e d'impresa"", '110/110 con Lode', 'Laurea Triennale in Scienze della Comunicazione', 'Classe L20- Scienze della Comunicazione', '110/110 con Lode', 'Diploma di Maturità Classica', 'Lettere/Studi umanistici', '90/100']",Magistrale,"['2016', '2018', '2013', '2016', '2008', '2013']",F,Quadro
"['Università di Bologna', 'Assistente Ufficio Marketing', 'Giornalista', 'Addetto Stampa e Comunicazione', 'Giornalista']","['Laurea Specialistica', 'Scienze della Comunicazione Pubblica, Sociale e Politica', 'Laurea', 'Scienze della Comunicazione']",Magistrale,"['2004', '2007', '2001', '2004']",M,Impiegato
"['Ufficio relazioni con il pubblico', 'responsabile comunicazione', 'Responsabile comunicazione marketing']","['Laurea Magistrale  LM', ""comunicazione pubblica, d'impresa e pubblicità"", '1°\xa0livello - Laurea L', ""Scienze della comunicazione e dell''informazione""]",Magistrale,"['2019', '2021', '2016', '2019']",F,Impiegato
"['Team comunicazione, revisione dei testi, progetti']","['Laurea Magistrale  LM', ""Pubblicità, comunicazione digitale e creatività d'impresa"", 'Università', 'Scienze della comunicazione', 'Diploma di maturità', 'Scienze umane opzione economico-sociale']",Magistrale,"['2020', '2022', '2016', '2019', '2011', '2016']",F,Impiegato
"['Vendite', 'Responsabile della comunicazione', 'Addetto alle vendite']","['Laurea triennale', 'Scienze della comunicazione', 'Laurea', 'Filologia e lingue straniere (inglese)']",Triennale,"['2013', '2017', '2009', '2013']",F,Quadro
"['Junior Account - Comunicazione scientifica', 'Giornalista scientifico', 'Giornalista scientifico', 'Giornalista scientifico', 'Stagista in ufficio comunicazione']","['Corso di perfezionamento', 'Master in Comunicazione della Scienza F. Prattico', 'Tirocinio formativo', 'Laurea Magistrale  LM', ""Scienze Cognitive della Comunicazione e dell'Azione"", '110/110 e lode']",Magistrale,"['2019', '2021', '2019', '2019', '2016', '2018']",M,Impiegato
"['Sale Assistant', 'Studente', 'Assistant Communications Manager', 'Funzionario amministrativo', 'Apprendista comunicazione']","['Master in Design and Technology for Fashion Communication', 'Metodologie Didattiche, Psicologiche, Antropologiche e Teoria e metodi di progettazione', ""Laurea Magistrale in Scienze Criminologiche per l'Investigazione e la Sicurezza"", '108']",Magistrale,"['2020', '2021', '2019', '2019', '2015', '2017']",F,Impiegato
"['SEO Strategist', 'Web Content Editor', 'Collaboratore esterno - Caporedattore', 'Web editor', 'Tirocinante marketing']","[""Laurea Magistrale in Scienze della comunicazione pubblica, d'impresa e di pubblicità"", 'Scienze della comunicazione pubblica e sociale', '110L', 'Scienze Politiche', 'Studi internazionali/globali', '102', 'Maturità scientifica', '92']",Magistrale,"['2013', '2016', '2010', '2013', '2005', '2010']",F,Quadro
"['Retail Parts Professional', 'ufficio commerciale Italia']","['Laurea breve', 'scienze politiche e relazioni internazionali']",Triennale,['2020'],F,Quadro
"['Digital Marketer', 'Post Cataloguing Specialist', 'E-commerce  Coordinator', 'Junior account executive', 'Junior Community Manager']","['Scienze della comunicazione pubblica e sociale', 'Lettere/Studi umanistici', '103/110', 'Scienze della comunicazione', 'Lettere/Studi umanistici']",Triennale,"['2013', '2015', '2010', '2013']",M,Impiegato
"['Specialista comunicazione Web', 'Specialista della comunicazione istituzionale', 'Specialista social media', 'Specialista audio video', 'Consulente per le comunicazioni']","['Laurea magistrale', 'Scienze della comunicazione pubblica e sociale', '105/110', 'Laurea triennale', 'Scienze della comunicazione', '97/110', 'Corso di studi', 'Comunicazione audiovisuale', 'Approvato']",Magistrale,"['2008', '2010', '2004', '2008', '2007', '2007']",M,Quadro
"['Marketing & Communication Manager', 'Communication Specialist & Content Editor', 'Communication Specialist', 'Account-Copywriter', 'Scrittura articoli']","[""Laurea Magistrale  in Comunicazione Pubblica e D'impresa"", '108', 'Corso Email Marketing', 'Corso Online Corporate Storytelling']",Magistrale,"['2013', '2015', '2018', '2018', '2018', '2018']",F,Dirigente
"['Logistica', 'Operatore Socio Sanitario', 'Operatore Call Center', 'Operatore Call Center']","['Laurea Magistrale in Italianistica, Culture Letterarie Europee, Scienze Linguistiche', 'Laurea in Scienze della Comunicazione', 'Corso Privato  di Inglese accreditato dal Ministero della Pubblica Istruzione', 'Certificazione Livello B2 presso Anglo American School Bologna']",Magistrale,"['2015', '2017', '2008', '2012', '2013', '2013']",M,Quadro
"['Campaign Specialist', 'Responsabile del Coordinamento Social', 'Corporate Communication', 'Social Work', 'Social media manager']","['Laurea Magistrale  LM', ""Pubblicità, comunicazione digitale e creatività d'impresa"", '106', 'Laurea triennale', 'Scienze della Comunicazione', '104']",Magistrale,"['2018', '2021', '2015', '2018']",F,Quadro
"['Assistente web marketing', 'Cameriera', 'Social media manager', 'Assistente comunicazione marketing', 'Content creator']","['Laurea Magistrale', ""COMUNICAZIONE PUBBLICA E D'IMPRESA"", '105/110', 'Laurea Triennale in Scienze Politiche, Studi Internazionali, Governo delle Amministrazioni']",Magistrale,"['2018', '2020', '2015', '2018']",F,Impiegato
"['Junior Social Media Specialist', 'Assistente alle vendite', 'Runner', 'Sales Assistant']","['Scienze della Comunicazione', 'Scienze della Comunicazione', 'Diploma', 'Ragioniere - Perito commerciale e Programmatore', '97/100']",Triennale,"['2017', '2021', '2009', '2014']",F,Impiegato
"['Retail Area manager', 'KIKO MILANO']","['Laurea magistrale in scienze della comunicazione', ""Scienze della comunicazione e dell''informazione""]",Magistrale,"['2000', '2006']",F,Dirigente
['Assistant Content Manager'],"['Laurea triennale', ""Scienze della comunicazione e dell''informazione"", '99', 'Laurea magistrale', ""Comunicazione giornalistica, pubblica e d'impresa"", 'Diploma', 'Scienze Umane', '90']",Triennale,"['2016', '2020', '2020']",F,Impiegato
"['Front office Urp e Ufficio tirocini della Scuola di Economia', 'Rilevatrice', 'Aggiornamento archivio bibliografico on line e sito internet']","['Master in Marketing, Comunicazione e Nuove Professioni Digitali', 'Laurea Magistrale', 'Facoltà di Lettere e Filosofia', 'Institut des études éuropéeness (IEE)', 'Erasmus']",Magistrale,"['2008', '2011', '2009', '2010']",F,Impiegato
"['Marketing Manager', 'Marketing Manager, Strategic Accounts', 'Specialist, Marketing Regional EMEA', 'Marketing Coordinator', 'Board Member and co-founder']","['Master Degree in Economics and Market Policy', 'School of Economics, Management and Statistics , Rimini Campus', 'Bachelor in International Relations and Diplomatic Affairs', 'Political and Social Sciences', 'International Relations', 'Erasmus program, Finland']",Triennale,"['2012', '2014', '2009', '2012', '2011']",F,Dirigente
"['Tecnico della comunicazione-informazione', 'Marketing and Social Media Analytics', 'Bar Staff', 'Assistente comunicazione marketing', 'Addetta alle vendite']","['Comunicazione pubblica e di impresa', '108', 'Culture e tecniche della moda', '110 e lode']",Triennale,"['2016', '2018', '2013', '2016']",F,Impiegato
"['Co-Founder e Project Manager', 'Tutor Didattico', 'Blogger', 'Trainership', 'Blogger e community engagement']","['Laurea Magistrale', 'Scienze della Comunicazione Pubblica e Sociale', 'Laurea triennale in Scienze Politiche', 'Sociologia', 'Diploma di Maturità Scientifica', 'Liceo Enrico Fermi Bologna']",Magistrale,"['2008', '2010', '2003', '2007', '1998', '2003']",F,Quadro
"['Copywriter - content & community manager', 'Copywriter junior', 'Copywriter / strategist (Stage)', 'Stage curriculare']","['Laurea specialistica in Scienze della comunicazione pubblica e sociale', '(scienze della comunicazione pubblica, di impresa e pubblicità)', '110', 'Lurea triennale in Sociologia', 'Scienze politiche', '106']",Magistrale,"['2013', '2015', '2010', '2013']",F,Dirigente
"['Sales Assistant', 'Web content creator', 'Accounting, HR, New business', 'Efesti srl']","['Laurea Magistrale  LM', 'Semiotica', 'Laurea triennale', 'Scienze della Comunicazione']",Magistrale,"['2017', '2020', '2014', '2017']",F,Impiegato
"[""Assistente all'Organizzazione"", 'Social Media Manager']","['Corso di Master di 1° livello', 'Imprenditoria dello Spettacolo', 'Laurea Magistrale  LM in Arti Figurative, Musica, Spettacolo e Moda', 'Discipline del Teatro', '110L/110', '1°\xa0livello - Laurea L', 'scienze della comunicazione', '105/110']",Magistrale,"['2021', '2017', '2020', '2014', '2017']",F,Impiegato
"['Consulente per le comunicazioni di marketing', 'Docente', 'Docente a contratto', 'Formatore', 'Istruttore di nuoto']","['Scienze della comunicazione Pubblica, Politica e Sociale', ""Scienze della comunicazione e dell'informazione"", '107/110', 'Laurea Specialistica in Comunicazione Pubblica Politica e Sociale', ""Scienze della comunicazione e dell''informazione""]",Magistrale,"['1999', '2004', '1999', '2004']",M,Quadro
"['Copywriter', 'Senior copywriter', 'Copywriter, Blogger, Digital & Social Strategy', 'Copywriter, Blogger', 'Copywriter, Blogger']","['Laurea in Scienze della comunicazione', 'Scienze della comunicazione', 'Master in Social Media Marketing']",Triennale,"['2002', '2008', '2016']",F,Quadro
"['Ufficio stampa e comunicazione Azienda Usl di Bologna', 'Responsabile Ufficio stampa e comunicazione Ordine Professioni infermieristiche di Bologna', 'Collaboratore esterno', 'Attività in Assif - Gruppo Territoriale Emilia Romagna', 'BSR di II livello per lo sviluppo del Progetto di rete Ministeriale sulla stewardship antimicrobica']","['Master in Fundraising per ONP ed enti pubblici', 'sede di Forlì', 'Comunicazione Pubblica Sociale e di Impresa', 'Lettere/Studi umanistici', '110 e lode', 'Sociologia', ""Scienze della comunicazione e dell'informazione"", '110 e lode']",Triennale,"['2017', '2018', '2013', '2015', '2010', '2013']",F,Quadro
"['Addetto ufficio marketing', 'Blogger', 'Steward', 'Communication Manager', 'Senior Fan Journalist']","['Laurea Magistrale  LM', 'Semiotica', 'Laurea in Scienze della Comunicazione']",Magistrale,"['2021', '2021', '2017', '2021', '2014', '2017']",M,Impiegato
"['Ambassador', 'Salesperson', 'Salesperson']","['Double Degree in International Business Development', ""Master's Degree in Economics and Management"", 'Business and Administration', 'Bachelor of Science - BS', 'Economics', '100/110', 'Internship', '""English Language and  Management Study Programme”']",Magistrale,"['2021', '2022', '2020', '2021', '2014', '2018', '2017']",M,Impiegato
"['HR Recruiter', 'Redattore e Social media manager', 'Retail assistant', 'Studente tirocinante', 'Hostess']","['Laurea Magistrale  LM', 'Comunicazione pubblica e di impresa', 'Laurea triennale', ""Scienze della comunicazione e dell''informazione"", '100/110', 'Diploma di maturità', 'Scienze Umane', '98/100']",Magistrale,"['2019', '2021', '2016', '2019', '2016']",F,Impiegato
['Azienda USL di Bologna'],"['Scienze della Comunicazione, Pubblica, Politica e Sociale', ""Scienze della comunicazione e dell'\u200b'informazione"", '108', 'Scienze Politiche', 'Politico Sociale (Sociologia)', '110 e lode']",Triennale,"['2003', '2005', '1983', '1988']",M,Impiegato
"['Responsabile ufficio stampa, comunicazione ed eventi', 'Redattrice', 'Redattrice']","['Laurea magistrale in scienze della comunicazione', 'comunicazione,semiotica, sociologia, economia, diritto, filosofia, storia, antropologia', '110/110']",Magistrale,"['1998', '2004', '2015', '2016', '2014', '2015']",F,Quadro
"['Marketing e Comunicazione', 'Senior account executive', 'Fundraiser']","['Laurea in Scienze della Comunicazione Pubblica e Sociale', 'Laurea in Lettere Moderne']",Triennale,[],F,Quadro
"['Data Analyst', 'Communication Officer', 'PHD Fellow', 'Tutor', 'Giornalista freelance']","['Laurea Magistrale  LM', 'Semiotica', '110L', 'Master', 'Heritage and Memory Theory/Museums studies', 'Laurea triennale', 'Scienze della Comunicazione', '110L']",Magistrale,"['2015', '2017', '2016', '2017', '2012', '2015']",M,Impiegato
"['3 restaurants', 'Internal Communications Specialist', 'Internationalization Tutor', 'Photojournalist']","['Laurea Magistrale  LM', 'Scienze della comunicazione pubblica, sociale e d’impresa', '110 with laude', 'Laurea Magistrale  LM', 'Teoria e tecnologia della comunicazione', 'Giornalismo e psicologia della comunicazione']",Magistrale,"['2013', '2015', '2012', '2013', '2010', '2011']",F,Quadro
"['Junior Social media manager', 'Hostess', 'Junior Recruiter - Divisione Fashion/Retail']","['Laurea Magistrale  LM', 'Semiotica', 'Laurea breve', '110 e Lode', 'Diploma', 'Scienze Umane e Comunicazione', '94/100']",Magistrale,"['2020', '2022', '2017', '2020', '2012', '2017']",F,Impiegato
"['Giornalista', 'Speaker ospite', 'Guida turistica']","[""Scienze della comunicazione e dell''informazione""]",Triennale,"['2018', '2021']",F,Impiegato
"['Demetra Formazione', 'Tirocinante ufficio stampa', 'Redattore']","['Laurea Magistrale  LM', 'Giornalismo e cultura editoriale', '110 e lode', 'Laurea triennale', ""Scienze della comunicazione e dell''informazione"", '97/110', 'Maturità classica']",Magistrale,"['2015', '2017', '2011', '2014', '2011']",M,Impiegato
"['Copywriter', 'Copywriter junior', 'Junior Creative']","['Laurea Magistrale  LM', 'Semiotica', 'Laurea triennale', 'Scienze della Comunicazione']",Magistrale,"['2019', '2022', '2021', '2016', '2019']",F,Impiegato
"['Research Intern', 'Pollster for the political elections of the Metropolitan City of Bologna']","['MA', 'Joint degree, Università di Bologna', 'Joint MA mobility (Erasmus+ Study)', 'Russian, Central European, East European and Eurasian Studies', 'Erasmus+ Study', 'European Studies', 'Laurea triennale in Scienze Politiche, Sociali e Internazionali']",Triennale,"['2019', '2022', '2020', '2021', '2017', '2018', '2015', '2019']",F,Impiegato
"['Web Content Editor', 'Web Content Editor', 'Giornalista', 'Web Content Editor']","['Laurea Magistrale  LM', 'Semiotica', 'Laurea triennale', ""Scienze della comunicazione e dell''informazione""]",Magistrale,"['2020', '2016', '2019']",M,Impiegato
"['Docente di Italiano L2', 'Studente tirocinante']","['Laurea Magistrale  LM', 'Lingua e cultura italiane per stranieri', 'School of Arts (Italian, English and Russian Literature)', 'Laurea triennale', 'Lingue, civiltà e scienze del linguaggio', '106/110']",Magistrale,"['2018', '2021', '2019', '2020', '2015', '2018']",M,Impiegato
"['Specialista vendite e servizi', 'Assistente di ufficio']","['Lingue, letterature e linguistica straniere', 'Laurea triennale', 'Economia aziendale/manageriale']",Triennale,"['2018', '2021', '2016', '2018']",F,Quadro
"['Insegnate privato', 'Tour operator']","['laurea in lingue e culture straniere moderne', 'lingue e culture italiane per stranieri', 'Corso 24 cfu', 'in discipline antropo-psico-pedagogiche e metodologie e tecnologie didattiche', 'Laurea triennale', 'Culture e lingue straniere moderne']",Triennale,"['2018', '2021', '2013', '2018']",F,Impiegato
"['Assistente di lingua italiana', 'Adjunct project manager', ""Tutor per l'internazionalizzazione, Area Relazioni Internazionali - Area geografica 2"", 'Traduttore', 'Tutor accademico, Dipartimento di Interpretazione e Traduzione (DIT)']","['Master', 'Global Marketing, Comunicazione & Made in Italy', 'Laurea Magistrale  LM', 'Language, Society and Communication', '110 /110, con lode', 'Laurea', 'Lingue e letterature straniere', '110 /110, con lode']",Magistrale,"['2020', '2017', '2019', '2013', '2016']",M,Impiegato
"['Receptionist front desk', 'Receptionist front desk']","['Laurea triennale', 'Lingue e letterature straniere, generale', 'EsaBac - doppio diploma italo-francese', 'Turismo', '20/20, 100/100']",Triennale,"['2018', '2021', '2013', '2018']",F,Impiegato
"['Segretaria', 'Coccinelle']","['Laurea triennale', 'Lingue, letterature e linguistica straniere']",Triennale,"['2013', '2018']",F,Impiegato
"['Responsabile vendite', 'Tirocinante estivo', 'Dipendente addetto alle vendite', 'Cassiere', 'Receptionist']","['Laurea Magistrale  LM', 'Letterature moderne comparate e postcoloniali', '104/110', 'Laurea triennale', 'Lingue e letterature straniere, generale', '92/110']",Magistrale,"['2015', '2018', '2012', '2015']",M,Quadro
"['Hostess per eventi e assistenza linguistica', 'Interprete di conferenza', 'Interprete di trattativa italiano <> francese', 'Hostess per eventi', 'Traduttore']","['Laurea Magistrale  LM', 'Interpretazione di conferenza', 'Laurea triennale', 'Mediazione linguistica e interculturale (exSSLMIT)', '110/110', 'Interpretazione e traduzione']",Magistrale,"['2019', '2021', '2016', '2019', '2017', '2018']",F,Impiegato
"['Insegnante di lingua italiana', 'Datalogic', 'insegnante di lingua e letteratura italiana', 'Insegnante di italiano L2', 'Insegnante di italiano L2']","['Ditals di II livello', ""certificazione per l'insegnamento dell'italiano a stranieri"", '71/100', 'Dottorato in letteratura comparata e traduzione del testo letterario', 'Scuola di dottorato', 'ottimo', 'Lettere', '110 e lode']",Dottorato,"['2009', '2006', '2002']",F,Impiegato
"['Ricercatore', 'Associate (socio fondatore)', 'Free-lance as editor/publisher graphic', 'Publishing consultant and director of book series ""Libera la Ricerca"" and ""Odoya RealFiction""', 'Post-Doctoral fellow (assegnista)', 'Research fellow', 'Tutor in ""Sociology of political phenomenon""', 'Editor']","['Phd in ""Europa e Americhe: Costituzioni, Dottrine e Istituzioni Politiche""', 'History of political thought - Political sociology', 'Political sciences', 'History of political thought', '1 year abroad', 'Political and international sciences', '1999', 'Maturità scientifica']",Dottorato,"['2004', '2008', '1999', '2004', '2001', '2002', '1994', '1999']",M,Impiegato
"['Tutor didattico - Dipartimento di Lingue, Letterature e Culture Moderne', ""Tutor per l'orientamento in ingresso - Corso di Laurea in DAMS (Dipartimento delle Arti)"", ""Tutor per l'orientamento in ingresso - Dipartimento di Lingue, Letterature e Culture Moderne"", 'Insegnante di materie umanistiche', 'Insegnante di Filosofia']","['Laurea magistrale in Musicologia e beni musicali', 'CdLM in Discipline della Musica e del Teatro - Curriculum Discipline della Musica', '110/110 e Lode', 'Laurea magistrale in Scienze Filosofiche', 'CdLM in Scienze Filosofiche', '110/110 e Lode', 'Laurea in Filosofia', 'CdL in Filosofia', '110/110 e Lode']",Magistrale,"['2018', '2021', '2014', '2017', '2011', '2014']",F,Impiegato
"['Social media manager', 'Studente tirocinante', 'Studente tirocinante']","['Laurea Magistrale  LM', 'Lingue, letterature e linguistica slave, generale', '110 e lode', 'Laurea triennale', 'Lingue e letterature straniere, generale', '108']",Magistrale,"['2018', '2020', '2014', '2018']",M,Quadro
['Correttore di bozze'],"['Russian as a Foreign Language', 'A', 'Laurea Magistrale  LM', 'Letterature moderne, comparate e postcoloniali', '110 e lode', 'Arts, Humanities and Social Sciences', 'A']",Magistrale,"['2020', '2020', '2018', '2020', '2017', '2018']",F,Impiegato
"['Marketing diretto per Associazioni Umanitarie', 'Banconiera', 'Tirocinio ufficio tecnico']","['Laurea Magistrale  LM', 'Language Society and Communication', ""Bachelor's degree"", 'English Language and Literature/Letters', 'Laurea triennale', 'Lingue e Culture Europee', '110/L']",Magistrale,"['2019', '2021', '2018', '2019', '2016', '2019']",F,Impiegato
"['docente di lingue', 'Tutor, professore a contratto', 'English, Spanish and Italian teacher', 'English, Italian teacher, teacher trainer', 'Assistente di lingue']","[""abilitazione all'insegnamento - TFA - postgraduate teacher training"", 'teaching Spanish to high schools', '95/100', ""abilitazione all' insegnamento  (SSIS) - postgraduate teacher training"", 'English teaching to high schools', '78/80', 'Laurea magistrale LM in lingue moderne - Master degree in modern languages (English-Spanish)', 'Lingue e letterature straniere, generale', '110/110']",Magistrale,"['2013', '2009', '2007']",F,Impiegato
"['Insegnante di Lingua Italiana L2', 'Receptionist', 'Collaboratrice organizzativa presso Ufficio Esami di Stato']","['Laurea Magistrale  LM in Italianistica, culture letterarie europee, scienze linguistiche', 'Linguistica', '110/110 con lode', 'Laurea triennale in Lettere moderne', 'Lettere/Studi umanistici', '103/110', 'Diploma linguistico', 'Indirizzo linguistico internazionale opzione Spagnolo']",Magistrale,"['2016', '2019']",F,Impiegato
"['Alma Mater Studiorum - Università di Bologna', 'Customer Service Agent', 'Traduttrice']","['LM-39 Linguistica', 'Lingua e cultura italiane per stranieri', 'Erasmus+ Studio', 'Linguistics', 'Laurea triennale', 'Lingue, mercati e culture dell’Asia 110L', '110/110 con lode']",Triennale,"['2020', '2022', '2021', '2022', '2016', '2019']",F,Impiegato
"['Commerciale', 'Programma di tirocinio']","['Laurea triennale in', 'Lingue e letterature straniere, generale']",Triennale,"['2017', '2021', '2019', '2020', '2012', '2017']",M,Impiegato
"['Export sales assistant - Back office employee', 'Stagista redazione', 'Alma Mater Studiorum - Università di Bologna', 'Babysitter', 'Insegnamento della lingua italiana agli stranieri']","['Laurea Magistrale  LM', 'Letterature moderne, comparate e postcoloniali', '108/110', 'Laurea triennale', 'Mediazione linguistica- Italiano come lingua seconda (L-12)', '107/110', 'Diploma di Maturità']",Magistrale,"['2018', '2021', '2014', '2018', '2009', '2013']",F,Impiegato
"['Interprete Italiano-Giapponese', 'Docente di Lingua Giapponese', 'Docente di Lingua Giapponese', 'Interprete', 'Traduttrice']","['Lingue e Letterature Straniere', 'Lingue e Letterature Straniere', '110/110 con lode', 'Letteratura', 'Letteratura inglese e americana - Linguistica']",Triennale,"['2007', '2010', '1995', '1999', '1992', '1995']",F,Impiegato
"['Front Office Agent', 'Rickshaw- and Bike-Tour Guide / Front- and Back Office Employee', 'Mover', 'Volunteer', 'Intern']","['Scienze politiche, sociali e internazionali', 'erasmus', 'Romanistik', 'none', 'Foreign Languages / Intercultural mediation', 'Secondary School Degree', 'Languages and literature', '75/100']",Triennale,"['2018', '2021', '2013', '2014', '2010', '2014', '2003', '2010']",M,Impiegato
"['Insegnante di spagnolo', 'Insegnante di spagnolo', 'Insegnante di spagnolo', 'Insegnante di inglese']","['Laurea Magistrale  LM', 'Lingue e letterature straniere', '110L', 'Programma Erasmus', 'Filología hispánica', 'Laurea triennale', 'Lingue e letterature straniere', '105']",Magistrale,"['2015', '2018', '2014', '2015', '2011', '2014']",M,Impiegato
"['Coordinamento Area Lingue', 'translator and social media editor', 'Docente a contratto', 'Traduttore', 'Addetta front-office']","['Laurea Magistrale', 'Letterature Moderne, Comparate e Postcoloniali', 'Master II Livello in Glottodidattica delle Lingue Straniere Moderne', 'Corso di formazione ""Diventare traduttore""', 'Traduzione tecnica (legale, finanziaria, tecnico-industriale), localizzazione siti web, post-editing']",Magistrale,"['2009', '2011', '2013', '2014', '2012', '2012']",F,Quadro
"['Insegnante di lingua russa', 'Studente tirocinante', 'Studente tirocinante', 'Studente tirocinante']","['Laurea Magistrale  LM', 'Letterature moderne, comparate e postcoloniali', 'Laurea triennale', 'Lingue e letterature straniere', '110 con lode']",Magistrale,"['2018', '2021', '2015', '2018', '2010', '2015']",F,Impiegato
"['Traduttrice freelance EN/DE > IT', 'Insegnante di lingua tedesca', 'Insegnante di lingua tedesca', 'Insegnante di lingua tedesca', 'Tutor di Linguistica tedesca']","['Laurea Magistrale', 'Traduzione Specializzata', '110 e lode', 'Semestre di scambio', 'Laurea triennale', 'Comunicazione Interlinguistica Applicata', '110 e lode']",Magistrale,"['2009', '2012', '2010', '2010', '2006', '2009']",F,Impiegato
"['Supplente di tedesco', 'Assistente turistico', 'Studente Senior']","['1°\xa0livello - Laurea L', 'Lingue e letterature straniere, generale']",Triennale,"['2015', '2019']",F,Impiegato
"['Volontaria Servizio civile', 'Insegnante di italiano L2', 'Educatrice', 'Insegnante di Italiano L2', 'Studente tirocinante']","[""Conseguimento dei 24 CFU per l'insegnamento"", 'Corso di formazione online per insegnanti di italiano L2 a migranti', 'Giornata di formazione per insegnanti di italiano L2']",Triennale,"['2020', '2020', '2019', '2019', '2019', '2019']",F,Impiegato
